Original_Name,MLST,OspC_Type,Source,Origin,Location,skin/blood_pairs,Disseminated
UNY199,19,E,,US,NY,,L
UNY200,1,A,,US,NY,,L
UNY201,34,J,,US,NY,,D
UNY202,9,N,,US,NY,,D
UNY203,14,G,,US,NY,,L
UNY204,12,M,,US,NY,,D
UNY205,16,I,,US,NY,,D
UNY206,9,N,,US,NY,,D
UNY207,11,C,,US,NY,,D
UNY208,4,H,,US,NY,,D
UNY209,16,I,,US,NY,,D
UNY210,18,U,,US,NY,,L
UNY211,3,K,,US,NY,,L
UNY212,3,K,,US,NY,,D
UNY213,8,F,,US,NY,,L
UNY214,40,E3,,US,NY,,L
UNY215,14,G,,US,NY,,D
UNY216,12,M,,US,NY,,D
UNY217,37,T,,US,NY,,L
UNY218,37,T,,US,NY,,L
URI219,1,A,,US,RI,,L
UWI220,56,F,,US,WI,,L
UWI221,32,H,,US,WI,,L
UWI222,32,H,,US,WI,,D
UWI223,234,K,,US,WI,,L
UWI224,32,H,,US,WI,,D
UWI225,56,F,,US,WI,,L
UWI226,221,O,,US,WI,,D
UWI227,32,H,,US,WI,,D
UWI228,234,K,,US,WI,,L
UWI229,43,N,,US,WI,,L
UWI230,222,U,,US,WI,,D
UWI231,52,E3,,US,WI,,L
UWI232,234,K,,US,WI,,D
UWI233,48,G,,US,WI,,L
UWI234,29,L,,US,WI,,L
UWI235,47,U,,US,WI,,L
UWI236,48,G,,US,WI,,L
UWI237,229,E,,US,WI,,L
UWI238,29,L,,US,WI,,D
UWI239,221,O,,US,WI,,D
UWI240,12,M,,US,WI,,D
UWI241,48,G,,US,WI,,D
UWI242,55,A,,US,WI,,L
UWI243,234,K,,US,WI,,L
UWI244,237,J,,US,WI,,L
UWI245,229,E,,US,WI,,L
UWI246,302,E,,US,WI,,L
UWI247,4,H,,US,WI,,D
UWI248,32,H,,US,WI,,L
UWI249,409,M,,US,WI,,L
UWI250,32,H,,US,WI,,L
UWI251,30,B,,US,WI,,L
UWI252,29,L,,US,WI,,D
UWI253,32,H,,US,WI,,D
UWI254,32,H,,US,WI,,D
UWI255,227,I,,US,WI,,L
UWI256,29,L,,US,WI,,L
UWI257,232,B3,,US,WI,,L
UWI258,232,B3,,US,WI,,L
UWI260,225,F3,,US,WI,,L
UWI261,55,A,,US,WI,,D
UWI262,51,D,,US,WI,,L
UWI263,29,L,,US,WI,,L
UWI264,29,L,,US,WI,,D
UWI265,234,K,,US,WI,,L
UWI267,222,U,,US,WI,,L
UWI268,228,I,,US,WI,,L
UWI269,32,H,,US,WI,,D
UWI270,51,D,,US,WI,,L
UWI271,30,B,,US,WI,,D
UWI272,55,A,,US,WI,,D
UWI273,55,C,,US,WI,,L
UWI274,226,D,,US,WI,,L
UWI275,12,M,,US,WI,,L
UWI276,410,N,,US,WI,,D
UWI277,410,N,,US,WI,,L
UWI278,32,H,,US,WI,,D
UWI279,302,F,,US,WI,,D
UWI280,32,H,,US,WI,,L
UWI281,223,T,,US,WI,,L
UWI282,55,C,,US,WI,,L
UWI283,221,O,,US,WI,,L
ESI284,ST20,R,,EU,Slovenia,,
ESI285,ST20,B,,EU,Slovenia,,
ESI286,ST20,B,,EU,Slovenia,,
ESI287,ST314,B,,EU,Slovenia,,
ESI288a,ST20,S,,EU,Slovenia,,
ESI289,ST314,B,,EU,Slovenia,,
ESI290,ST314,B,,EU,Slovenia,,
ESI291,545,Q,,EU,Slovenia,,
ESI292,545,B,,EU,Slovenia,,
ESI294,ST314,B,,EU,Slovenia,,
ESI295,24,L,,EU,Slovenia,,
ESI297,ST545,B,,EU,Slovenia,,
ESI299,ST24,S,,EU,Slovenia,,
ESI300,ST24,L,,EU,Slovenia,,
ESI301,ST314,B,,EU,Slovenia,,
ESI303,ST545,B,,EU,Slovenia,,
ESI304,ST24,L,,EU,Slovenia,,
ESI305,ST20,B,,EU,Slovenia,,
ESI306,ST545,B,,EU,Slovenia,,
ESI307,ST545,B,,EU,Slovenia,,
ESI308,ST20,B,,EU,Slovenia,,
ESI309,ST20,S,,EU,Slovenia,,
ESI311,ST24,L,,EU,Slovenia,,
ESI312,New ST,L,,EU,Slovenia,,
ESI313,ST314,B,,EU,Slovenia,,
ESI314,ST20,B,,EU,Slovenia,,
ESI315,ST545,B,,EU,Slovenia,,
ESI316,ST24,L,,EU,Slovenia,,
ESI317,ST20,B,,EU,Slovenia,,
ESI318,ST545,B,,EU,Slovenia,,
ESI319,ST24,L,,EU,Slovenia,,
ESI320,546,Q,,EU,Slovenia,,
ESI322,ST24,L,,EU,Slovenia,,
ESI323,799,L,,EU,Slovenia,,
