refseq_id	old_name
BB_RS02880	BB_0573
BB_RS02885	BB_0574
BB_RS02890	BB_0575
BB_RS02895	BB_0576
BB_RS02900	BB_0577
BB_RS02905	BB_0578
BB_RS02910	BB_0579
BB_RS02915	BB_0580
BB_RS02920	BB_0581
BB_RS02925	BB_0582
BB_RS02930	BB_0583
BB_RS02935	BB_0584
BB_RS02940	BB_0585
BB_RS02945	BB_0586
BB_RS02950	BB_0587
BB_RS02955	BB_0588
BB_RS02960	BB_0589
BB_RS02965	BB_0590
BB_RS02970	BB_0591
BB_RS02975	BB_0592
BB_RS02980	BB_0593
BB_RS02985	BB_0594
BB_RS02990	BB_0595
BB_RS02995	BB_0596
BB_RS03000	BB_0597
BB_RS03005	BB_0598
BB_RS03010	BB_0599
BB_RS03015	BB_0600
BB_RS03020	BB_0601
BB_RS03025	BB_0602
BB_RS03030	BB_0603
BB_RS03035	BB_0604
BB_RS03040	BB_0605
BB_RS03045	BB_0606
BB_RS03050	BB_0607
BB_RS03055	BB_0608
BB_RS03060	BB_t08
BB_RS03065	BB_t26
BB_RS03070	BB_t27
BB_RS03075	BB_t09
BB_RS03080	BB_0610
BB_RS03085	BB_0611
BB_RS03090	BB_0612
BB_RS03095	BB_0613
BB_RS07740	BB_0614
BB_RS03100	BB_0615
BB_RS03105	BB_t28
BB_RS03110	BB_0616
BB_RS03115	BB_0617
BB_RS03120	BB_0618
BB_RS03125	BB_0619
BB_RS03130	BB_0620
BB_RS03135	BB_t10
BB_RS03140	BB_0621
BB_RS03145	BB_0622
BB_RS03150	BB_0623
BB_RS03155	BB_0624
BB_RS03160	BB_0625
BB_RS03165	BB_t11
BB_RS03170	BB_0626
BB_RS03175	BB_0627
BB_RS03180	BB_0628
BB_RS03185	BB_0629
BB_RS03190	BB_0630
BB_RS03195	BB_0631
BB_RS03200	BB_t12
BB_RS03205	BB_0632
BB_RS03210	BB_0633
BB_RS03215	BB_0634
BB_RS03220	BB_0635
BB_RS03225	BB_0636
BB_RS03230	BB_0637
BB_RS03235	BB_0638
BB_RS03240	BB_0639
BB_RS03245	BB_0640
BB_RS03250	BB_0641
BB_RS03255	BB_0642
BB_RS03260	BB_0643
BB_RS03265	BB_0644
BB_RS03270	BB_0645
BB_RS03275	BB_0646
BB_RS03280	BB_0647
BB_RS03285	BB_0648
BB_RS03290	BB_0649
BB_RS03295	BB_0650
BB_RS03300	BB_0651
BB_RS03305	BB_0652
BB_RS03310	BB_0653
BB_RS03315	BB_0654
BB_RS03320	BB_0655
BB_RS03325	BB_0656
BB_RS03330	BB_0657
BB_RS03335	BB_0658
BB_RS03340	BB_0659
BB_RS03345	BB_0660
BB_RS03350	BB_0661
BB_RS03355	BB_0662
BB_RS03360	BB_0663
BB_RS03365	BB_0664
BB_RS03370	BB_0665
BB_RS03375	BB_0666
BB_RS03380	BB_0667
BB_RS03385	BB_0668
BB_RS03390	BB_0669
BB_RS03395	BB_0670
BB_RS03400	BB_0671
BB_RS03405	BB_0672
BB_RS03410	BB_0673
BB_RS03415	BB_0674
BB_RS03420	BB_0675
BB_RS03425	BB_0676
BB_RS03430	BB_0677
BB_RS03435	BB_0678
BB_RS03440	BB_0679
BB_RS03445	BB_0680
BB_RS03450	BB_0681
BB_RS03455	BB_0682
BB_RS03460	BB_0683
BB_RS03465	BB_0684
BB_RS03470	BB_0685
BB_RS03475	BB_0686
BB_RS03480	BB_0687
BB_RS03485	BB_0688
BB_RS03490	BB_t13
BB_RS03495	BB_0689
BB_RS03500	BB_0690
BB_RS03505	BB_0691
BB_RS03510	BB_0693
BB_RS03515	BB_0694
BB_RS03520	BB_0695
BB_RS03525	BB_0696
BB_RS03530	BB_0697
BB_RS03535	BB_0698
BB_RS03540	BB_0699
BB_RS03545	BB_0701
BB_RS03550	BB_0702
BB_RS03555	BB_0703
BB_RS03560	BB_0704
BB_RS03565	BB_0705
BB_RS03570	BB_0706
BB_RS03575	BB_0707
BB_RS03580	BB_0708
BB_RS03585	BB_t14
BB_RS03590	BB_t29
BB_RS03595	BB_0709
BB_RS03600	BB_0710
BB_RS03605	BB_0712
BB_RS03610	BB_0713
BB_RS03620	BB_0714
BB_RS03625	BB_0715
BB_RS03630	BB_0716
BB_RS03635	BB_0717
BB_RS03640	BB_0718
BB_RS03645	BB_0719
BB_RS03650	BB_0720
BB_RS03655	BB_0721
BB_RS03660	BB_0722
BB_RS03665	BB_0723
BB_RS03670	BB_0724
BB_RS03675	BB_0725
BB_RS03680	BB_0726
BB_RS03685	BB_0727
BB_RS03690	BB_0728
BB_RS03695	BB_0729
BB_RS03700	BB_0730
BB_RS03705	BB_0731
BB_RS03710	BB_0732
BB_RS03715	BB_0733
BB_RS03720	BB_0734
BB_RS03725	BB_0735
BB_RS03730	BB_0737
BB_RS03735	BB_0738
BB_RS03740	BB_0739
BB_RS03745	BB_0740
BB_RS03750	BB_0741
BB_RS03755	BB_0742
