Isolate,MLST,OspC_Type,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
URI19,59,B,1.0,,US,RI,,L,illumina
UWI275,12,M,3.0,,US,WI,,L,illumina
URI75,1,A,1.0,,US,RI,,D,illumina
URI40,1,A,1.0,,US,RI,,D,illumina
URI57,59,B,1.0,,US,RI,,L,illumina
UNY157,59,B,1.0,,US,NY,,L,illumina
UCT76,3,K,2.0,,US,CT,,L,illumina
URI111,1,A,1.0,,US,RI,,D,illumina
K80,19,E,3.0,,US,CT,,L,hybrid
K58,1,A,1.0,,US,RI,,D,hybrid
URI72,1,A,1.0,,US,RI,,L,illumina
MC123,29,L,,Skin,US,WI,,L,pacbio
URI89,1,A,1.0,,US,RI,,D,illumina
URI107,1,A,1.0,,US,RI,,D,illumina
URI101,1,A,1.0,,US,RI,,D,illumina
UMA8,1,A,1.0,,US,Nantucket,,D,illumina
URI65,1,A,1.0,,US,RI,,L,illumina
K84,59,B,1.0,,US,CT,,D,hybrid
URI24,1,A,1.0,,US,RI,,D,illumina
K90,59,B,1.0,,US,CT,,L,hybrid
BL082_H1,1,,,culture,US,MA,,,nanopore
BL515,11,C,3.0,,NY,,,D,pacbio
UMA2,8,F,2.0,,US,Nantucket,,L,illumina
UMA13,59,B,1.0,,US,Nantucket,,L,illumina
K10,1,A,1.0,,US,CT,,D,hybrid
K18,3,K,2.0,,US,RI,,L,hybrid
K66,1,A,1.0,,US,RI,,D,hybrid
K62,4,H,2.0,,US,RI,,L,hybrid
URI84,59,B,2.0,,US,RI,,L,illumina
BL091_B31E2_erpP,1,,,culture,US,MA,,,nanopore
K74,1,A,1.0,,US,RI,,D,hybrid
K15,3,K,2.0,,US,CT,,D,hybrid
URI20,14,G,3.0,,US,RI,,L,illumina
K72,3,K,2.0,,US,CT,,L,hybrid
EU51_B192411,24,,,,,,,,hybrid
K30,16,I,3.0,,US,RI,,L,hybrid
K16,9,N,2.0,,US,RI,,D,hybrid
K7,1,A,1.0,,US,RI,,L,hybrid
K12,3,K,2.0,,US,RI,,D,hybrid
K89,16,,,,,,,,hybrid
EU14_B89613,545,,,,,,,,hybrid
K17,3,K,2.0,,US,RI,,L,hybrid
K3,1,A,1.0,,US,RI,,D,hybrid
K57,1,A,1.0,,US,RI,,D,hybrid
K71,1,A,1.0,,US,RI,,L,hybrid
K70,3,K,2.0,,US,CT,,D,hybrid
K60,1,A,1.0,,US,RI,,D,hybrid
K82,3,K,2.0,,US,RI,,L,hybrid
K11,3,K,2.0,,US,CT,,D,hybrid
K59,3,K,2.0,,US,RI,,L,hybrid
K69,1,A,1.0,,US,CT,,L,hybrid
