Isolate,MLST,OspC_Type,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
K6,1,A,1.0,,US,RI,,L,hybrid
URI111,1,A,1.0,,US,RI,,D,illumina
URI75,1,A,1.0,,US,RI,,D,illumina
UCT74,1,A,1.0,,US,CT,,D,illumina
URI65,1,A,1.0,,US,RI,,L,illumina
URI58,16,I,3.0,,US,RI,,L,illumina
URI70,7,B,1.0,,US,RI,,D,illumina
BL082_H1,1,,,culture,US,NY,,,nanopore
K25,16,I,3.0,,US,RI,,D,hybrid
UNY157,59,B,1.0,,US,NY,,L,illumina
UMA16,59,B,1.0,,US,Nantucket,,L,illumina
HB-19,16,,,culture,US,NY,,,nanopore
URI91,1,A,1.0,,US,RI,,L,illumina
UNY161,1,A,1.0,,US,NY,,D,illumina
URI57,59,B,1.0,,US,RI,,L,illumina
URI53,16,I,3.0,,US,RI,,L,illumina
UMA127,11,C,3.0,,US,Nantucket,,L,illumina
URI61,1,A,1.0,,US,RI,,D,illumina
UWI275,12,M,3.0,,US,WI,,L,illumina
K73,1,A,1.0,,US,RI,,D,hybrid
URI72,1,A,1.0,,US,RI,,L,illumina
BL206,1,A,1.0,,NY,,,D,pacbio
UMA9,1,A,1.0,,US,Nantucket,,L,illumina
K75,3,K,2.0,,US,RI,,L,hybrid
UMA11,38,D,3.0,,US,Nantucket,,L,illumina
K58,1,A,1.0,,US,RI,,D,hybrid
UMA12,1,A,1.0,,US,Nantucket,,L,illumina
URI105,1,A,1.0,,US,RI,,D,illumina
URI88,4,H,2.0,,US,RI,,L,illumina
URI101,1,A,1.0,,US,RI,,D,illumina
K90,59,B,1.0,,US,CT,,L,hybrid
URI89,1,A,1.0,,US,RI,,D,illumina
MR614,11,C,3.0,,NY,,,D,pacbio
UMA8,1,A,1.0,,US,Nantucket,,D,illumina
URI19,59,B,1.0,,US,RI,,L,illumina
UMA13,59,B,1.0,,US,Nantucket,,L,illumina
UMA2,8,F,2.0,,US,Nantucket,,L,illumina
BL091_B31E2_erpP,1,,,culture,US,NY,,,nanopore
K15,3,K,2.0,,US,CT,,D,hybrid
K74,1,A,1.0,,US,RI,,D,hybrid
K62,4,H,2.0,,US,RI,,L,hybrid
K66,1,A,1.0,,US,RI,,D,hybrid
K10,1,A,1.0,,US,CT,,D,hybrid
URI84,59,B,2.0,,US,RI,,L,illumina
URI20,14,G,3.0,,US,RI,,L,illumina
K18,3,K,2.0,,US,RI,,L,hybrid
K72,3,K,2.0,,US,CT,,L,hybrid
EU51_B192411,24,,,,,,,,hybrid
K30,16,I,3.0,,US,RI,,L,hybrid
K12,3,K,2.0,,US,RI,,D,hybrid
K7,1,A,1.0,,US,RI,,L,hybrid
K80,19,E,3.0,,US,CT,,L,hybrid
K89,16,,,,,,,,hybrid
K16,9,N,2.0,,US,RI,,D,hybrid
EU14_B89613,545,,,,,,,,hybrid
K17,3,K,2.0,,US,RI,,L,hybrid
K70,3,K,2.0,,US,CT,,D,hybrid
K57,1,A,1.0,,US,RI,,D,hybrid
K76,4,H,2.0,,US,CT,,D,hybrid
K3,1,A,1.0,,US,RI,,D,hybrid
K71,1,A,1.0,,US,RI,,L,hybrid
K60,1,A,1.0,,US,RI,,D,hybrid
K82,3,K,2.0,,US,RI,,L,hybrid
K11,3,K,2.0,,US,CT,,D,hybrid
K59,3,K,2.0,,US,RI,,L,hybrid
K69,1,A,1.0,,US,CT,,L,hybrid
