Isolate,MLST,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method,OspC_Type,AT_type
UNY159,18,3.0,,US,NY,,L,illumina,U,AT15
URI33,9,2.0,,US,RI,,D,illumina,N,AT5
UWI243,234,2.0,,US,WI,,L,illumina,K,AT11
UWI225,56,2.0,,US,WI,,L,illumina,F,AT6
UNY135,16,3.0,,US,NY,,L,illumina,I,AT9
URI97,3,2.0,,US,RI,,L,illumina,K,AT11
UCT115,4,2.0,,US,CT,,D,illumina,H,AT8
URI103,3,2.0,,US,RI,,L,illumina,K,AT11
UNY136,19,3.0,,US,NY,,L,illumina,E,AT5
UCT31,1,1.0,,US,CT,,D,illumina,A,AT1
URI99,36,2.0,,US,RI,,D,illumina,N,AT13
MC104,4,,CSF,US,WI,,D,pacbio,H,AT8
UCT83,3,2.0,,US,CT,,L,illumina,K,AT11
URI86,3,2.0,,US,RI,,L,illumina,K,AT11
URI120,1,1.0,,US,RI,,D,illumina,A,AT1
URI42,1,1.0,,US,RI,,L,illumina,A,AT1
B477,38,3.0,Skin,US,NY,,L,pacbio,D,
URI17,7,1.0,,US,RI,,D,illumina,B,AT2
UNY194,3,2.0,,US,NY,,D,illumina,K,AT11
UNY145,1,1.0,,US,NY,,L,illumina,A,AT1
ESI318,545,1.0,,EU,Slovenia,,,illumina,B,AT2
UCT32,3,2.0,,US,CT,,D,illumina,K,AT11
URI60,9,2.0,,US,RI,,L,illumina,N,AT13
ESI307,545,1.0,,EU,Slovenia,,,illumina,B,AT2
URI90,9,2.0,,US,RI,,D,illumina,N,AT13
UNY152,18,3.0,,US,NY,,L,illumina,U,AT15
UNY182,3,2.0,,US,NY,,D,illumina,K,AT11
UNY151,4,2.0,,US,NY,,D,illumina,H,AT8
URI78,59,1.0,,US,RI,,D,illumina,B,AT2
UMA14,1,1.0,,US,Nantucket,,L,illumina,A,AT1
UNY155,3,2.0,,US,NY,,L,illumina,K,AT11
UNY170,1,1.0,,US,NY,,D,illumina,A,AT1
URI44,3,2.0,,US,RI,,D,illumina,K,AT11
UNY142,50,3.0,,US,NY,,L,illumina,G,AT7
UCT62,3,2.0,,US,CT,,D,illumina,K,AT11
UNY189,16,3.0,,US,NY,,D,illumina,I,AT9
UNY197,3,2.0,,US,NY,,D,illumina,K,AT11
UNY150,7,1.0,,US,NY,,D,illumina,B,AT2
URI94,3,2.0,,US,RI,,D,illumina,K,AT11
B500,15,3.0,Skin,US,NY,,D,pacbio,I,AT9
URI116,36,2.0,,US,RI,,L,illumina,N,AT13
URI77,3,2.0,,US,RI,,D,illumina,K,AT11
UWI234,29,2.0,,US,WI,,L,illumina,L,AT10
UWI238,29,2.0,,US,WI,,D,illumina,L,AT10
ESI285,20,1.0,,EU,Slovenia,,,illumina,B,AT2
URI64,3,2.0,,US,RI,,L,illumina,K,AT11
URI114,16,3.0,,US,RI,,D,illumina,I,AT9
K22,38,3.0,,US,RI,,D,hybrid,D,
URI43,1,1.0,,US,RI,,L,illumina,A,AT1
K1,1,1.0,,US,CT,,D,hybrid,A,AT1
UNY188,3,2.0,,US,NY,,D,illumina,K,AT11
UNY130,3,2.0,,US,NY,,L,illumina,K,AT11
UNY184,1,1.0,,US,NY,,L,illumina,A,AT1
UNY163,7,1.0,,US,NY,,L,illumina,B,AT2
UNY153,1,1.0,,US,NY,,D,illumina,A,AT1
UNY154,3,2.0,,US,NY,,L,illumina,K,AT11
UNY133,8,2.0,,US,NY,,D,illumina,F,AT6
