166	UNY143	12	3.0	unknown	US	NY	unknown	L	illumina	M	AT12
167	UNY192	1	1.0	unknown	US	NY	unknown	D	illumina	A	AT1
168	ESI306	545	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
169	UWI249	409	3.0	unknown	US	WI	unknown	L	illumina	M	AT12
170	ESI290	314	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
171	B483	9	2.0	unknown	NY	unknown	unknown	ND	pacbio	N	AT13
172	UNY204	12	3.0	unknown	US	NY	unknown	D	illumina	M	AT12
173	K86	1	1.0	unknown	US	RI	unknown	D	hybrid	A	AT1
174	UCT96	59	1.0	unknown	US	CT	unknown	D	illumina	B	AT2
175	UNY195	1	1.0	unknown	US	NY	unknown	D	illumina	A	AT1
176	ESI294	314	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
177	UNY159	18	3.0	unknown	US	NY	unknown	L	illumina	U	AT15
178	URI33	9	2.0	unknown	US	RI	unknown	D	illumina	N	AT5
179	UWI243	234	2.0	unknown	US	WI	unknown	L	illumina	K	AT11
180	UWI225	56	2.0	unknown	US	WI	unknown	L	illumina	F	AT6
181	UNY135	16	3.0	unknown	US	NY	unknown	L	illumina	I	AT9
182	URI97	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
183	UCT115	4	2.0	unknown	US	CT	unknown	D	illumina	H	AT8
184	URI103	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
185	UNY136	19	3.0	unknown	US	NY	unknown	L	illumina	E	AT5
186	UCT31	1	1.0	unknown	US	CT	unknown	D	illumina	A	AT1
187	URI99	36	2.0	unknown	US	RI	unknown	D	illumina	N	AT13
188	MC104	4	unknown	CSF	US	WI	unknown	D	pacbio	H	AT8
189	UCT83	3	2.0	unknown	US	CT	unknown	L	illumina	K	AT11
190	URI86	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
191	URI120	1	1.0	unknown	US	RI	unknown	D	illumina	A	AT1
192	URI42	1	1.0	unknown	US	RI	unknown	L	illumina	A	AT1
193	B477	38	3.0	Skin	US	NY	unknown	L	pacbio	D	unknown
194	URI17	7	1.0	unknown	US	RI	unknown	D	illumina	B	AT2
195	UNY194	3	2.0	unknown	US	NY	unknown	D	illumina	K	AT11
196	UNY145	1	1.0	unknown	US	NY	unknown	L	illumina	A	AT1
197	ESI318	545	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
198	UCT32	3	2.0	unknown	US	CT	unknown	D	illumina	K	AT11
199	URI60	9	2.0	unknown	US	RI	unknown	L	illumina	N	AT13
200	ESI307	545	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
201	URI90	9	2.0	unknown	US	RI	unknown	D	illumina	N	AT13
202	UNY152	18	3.0	unknown	US	NY	unknown	L	illumina	U	AT15
203	UNY182	3	2.0	unknown	US	NY	unknown	D	illumina	K	AT11
204	UNY151	4	2.0	unknown	US	NY	unknown	D	illumina	H	AT8
205	URI78	59	1.0	unknown	US	RI	unknown	D	illumina	B	AT2
206	UMA14	1	1.0	unknown	US	Nantucket	unknown	L	illumina	A	AT1
207	UNY155	3	2.0	unknown	US	NY	unknown	L	illumina	K	AT11
208	UNY170	1	1.0	unknown	US	NY	unknown	D	illumina	A	AT1
209	URI44	3	2.0	unknown	US	RI	unknown	D	illumina	K	AT11
210	UNY142	50	3.0	unknown	US	NY	unknown	L	illumina	G	AT7
211	UCT62	3	2.0	unknown	US	CT	unknown	D	illumina	K	AT11
212	UNY189	16	3.0	unknown	US	NY	unknown	D	illumina	I	AT9
213	UNY197	3	2.0	unknown	US	NY	unknown	D	illumina	K	AT11
214	UNY150	7	1.0	unknown	US	NY	unknown	D	illumina	B	AT2
215	URI94	3	2.0	unknown	US	RI	unknown	D	illumina	K	AT11
216	B500	15	3.0	Skin	US	NY	unknown	D	pacbio	I	AT9
217	URI116	36	2.0	unknown	US	RI	unknown	L	illumina	N	AT13
218	URI77	3	2.0	unknown	US	RI	unknown	D	illumina	K	AT11
219	UWI234	29	2.0	unknown	US	WI	unknown	L	illumina	L	Bbis
220	UWI238	29	2.0	unknown	US	WI	unknown	D	illumina	L	Bbis
221	ESI285	20	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
222	URI64	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
223	URI114	16	3.0	unknown	US	RI	unknown	D	illumina	I	AT9
224	K22	38	3.0	unknown	US	RI	unknown	D	hybrid	D	unknown
225	URI43	1	1.0	unknown	US	RI	unknown	L	illumina	A	AT1
226	K1	1	1.0	unknown	US	CT	unknown	D	hybrid	A	AT1
227	UNY188	3	2.0	unknown	US	NY	unknown	D	illumina	K	AT11
228	UNY130	3	2.0	unknown	US	NY	unknown	L	illumina	K	AT11
229	UNY184	1	1.0	unknown	US	NY	unknown	L	illumina	A	AT1
230	UNY163	7	1.0	unknown	US	NY	unknown	L	illumina	B	AT2
231	UNY153	1	1.0	unknown	US	NY	unknown	D	illumina	A	AT1
232	UNY154	3	2.0	unknown	US	NY	unknown	L	illumina	K	AT11
233	UNY133	8	2.0	unknown	US	NY	unknown	D	illumina	F	AT6
234	K64	1	1.0	unknown	US	RI	unknown	D	hybrid	A	AT1
235	UNY193	38	3.0	unknown	US	NY	unknown	L	illumina	D	unknown
236	UNY211	3	2.0	unknown	US	NY	unknown	L	illumina	K	AT11
237	UNY149	3	2.0	unknown	US	NY	unknown	D	illumina	K	AT11
238	ESI286	20	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
239	UNY132	16	3.0	unknown	US	NY	unknown	L	illumina	I	AT9
240	URI219	1	1.0	unknown	US	RI	unknown	L	illumina	A	AT1
241	UNY139	7	1.0	unknown	US	NY	unknown	L	illumina	B	AT2
242	URI38	37	3.0	unknown	US	RI	unknown	L	illumina	T	AT14
243	UCT106	36	2.0	unknown	US	CT	unknown	D	illumina	N	AT13
244	URI46	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
245	UNY131	50	3.0	unknown	US	NY	unknown	L	illumina	G	AT7
246	UNY202	9	2.0	unknown	US	NY	unknown	D	illumina	N	AT13
247	UNY165	14	3.0	unknown	US	NY	unknown	L	illumina	G	AT7
248	URI98	3	2.0	unknown	US	RI	unknown	D	illumina	K	AT11
249	URI71	3	2.0	unknown	US	RI	unknown	D	illumina	K	AT11
250	UNY179	3	2.0	unknown	US	NY	unknown	D	illumina	K	AT11
251	URI39	1	1.0	unknown	US	RI	unknown	D	illumina	A	AT1
252	URI55	19	3.0	unknown	US	RI	unknown	L	illumina	E	AT5
253	UCT66	1	1.0	unknown	US	CT	unknown	D	illumina	A	AT1
254	K56	3	2.0	unknown	US	RI	unknown	L	hybrid	K	AT11
255	UNY174	7	1.0	unknown	US	NY	unknown	L	illumina	B	AT2
256	URI48	9	2.0	unknown	US	RI	unknown	L	illumina	N	AT13
257	UNY164	4	2.0	unknown	US	NY	unknown	L	illumina	H	AT8
258	URI36	16	3.0	unknown	US	RI	unknown	D	illumina	I	AT9
259	URI102	1	1.0	unknown	US	RI	unknown	D	illumina	A	AT1
260	URI22	9	2.0	unknown	US	RI	unknown	L	illumina	N	AT4
261	URI68	36	2.0	unknown	US	RI	unknown	D	illumina	N	AT13
262	URI87	1	1.0	unknown	US	RI	unknown	D	illumina	A	AT1
263	UNY156	3	2.0	unknown	US	NY	unknown	L	illumina	K	AT11
264	UCT109	1	1.0	unknown	US	CT	unknown	L	illumina	A	AT1
265	URI100	59	1.0	unknown	US	RI	unknown	L	illumina	B	AT2
266	UNY146	3	2.0	unknown	US	NY	unknown	L	illumina	K	AT11
267	UNY180	3	2.0	unknown	US	NY	unknown	L	illumina	K	AT11
268	MR641	4	unknown	unknown	unknown	unknown	unknown	unknown	2pacbio	Hb	AT8
269	UCT29	1	1.0	unknown	US	CT	unknown	D	illumina	A	AT1
270	K13	9	2.0	unknown	US	RI	unknown	D	hybrid	K	AT11
271	URI40	1	1.0	unknown	US	RI	unknown	D	illumina	A	unknown
272	URI79	59	1.0	unknown	US	RI	unknown	D	illumina	B	AT2
