#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Bbss_out_gbbins.filtered_polymorphic_sites" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Bbss_out_gbbins.filtered_polymorphic_sites" name="distribution" x="@birthRate.t:Bbss_out_gbbins.filtered_polymorphic_sites">
#            <Normal id="Normal.100" name="distr">
#                <parameter estimate="false" id="RealParameter.200" name="mean" spec="beast.core.parameter.RealParameter">0.0</parameter>
#                <parameter estimate="false" id="RealParameter.201" name="sigma" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Normal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Bbss_out_gbbins.filtered_polymorphic_sites" id="treeLikelihood.Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Bbss_out_gbbins.filtered_polymorphic_sites">
#            <siteModel id="SiteModel.s:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Bbss_out_gbbins.filtered_polymorphic_sites" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Bbss_out_gbbins.filtered_polymorphic_sites" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Bbss_out_gbbins.filtered_polymorphic_sites" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Bbss_out_gbbins.filtered_polymorphic_sites" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Bbss_out_gbbins.filtered_polymorphic_sites" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
93000	-104295.75806290815	-104350.08726897006	54.329206061907	-104350.08726897006	0.24340666393957996	68.78464058569031	5.203171338823783
94000	-104291.1461897769	-104346.04087601014	54.89468623323428	-104346.04087601014	0.24764334659332124	74.36086512410813	6.090523845724467
95000	-104289.04718982316	-104343.4915573875	54.444367564348205	-104343.4915573875	0.25155950327502763	76.51743294860098	6.50447951046786
96000	-104289.65882815314	-104344.60459683547	54.94576868232494	-104344.60459683547	0.24702379044539005	73.06118534880696	5.864550815412438
97000	-104293.18617623059	-104347.6231199805	54.43694374991556	-104347.6231199805	0.25022326434429776	77.06123611976916	6.588680267951835
98000	-104291.92567769781	-104346.35891102917	54.43323333134835	-104346.35891102917	0.24969019694136507	69.88727886932134	5.391680072995488
99000	-104295.56322922141	-104349.96412807326	54.40089885184423	-104349.96412807326	0.24901444942640388	69.63653289086437	5.351017754748244
100000	-104296.3361170529	-104351.15390647472	54.817789421830255	-104351.15390647472	0.24638778558062835	75.56715234614632	6.2976859863145584
101000	-104294.3633830189	-104349.266247821	54.902864802087564	-104349.266247821	0.2499698050845046	72.98275903187539	5.858490538796347
102000	-104299.12740458109	-104353.81436215561	54.686957574528954	-104353.81436215561	0.24951267618274214	71.00866278889603	5.550273269157548
103000	-104285.61896779893	-104339.98259169309	54.363623894154046	-104339.98259169309	0.24555587475449822	69.0626205579414	5.249772972345125
104000	-104286.49615293024	-104341.12259305675	54.62644012650449	-104341.12259305675	0.24971031179943934	76.4120492559957	6.460134765821302
105000	-104283.10635784136	-104338.04316066451	54.93680282314769	-104338.04316066451	0.246933716065311	73.35834702680506	5.9165202053999115
106000	-104292.6432331975	-104346.13761911994	53.49438592244942	-104346.13761911994	0.24899539094362652	66.60728995787903	4.938413814622048
107000	-104290.20050509866	-104344.91266405814	54.712158959482295	-104344.91266405814	0.24767252473073156	76.03512432671893	6.388118163282823
108000	-104294.07678616542	-104348.7302000829	54.653413917481856	-104348.7302000829	0.24875472582474245	75.9010053062878	6.376308156857111
109000	-104287.46665060226	-104340.86222486361	53.39557426135242	-104340.86222486361	0.24684838957199745	80.21926013646984	7.197881263526475
110000	-104289.45834921411	-104342.7100425338	53.25169331969068	-104342.7100425338	0.2483520450353461	80.42475552453935	7.246257471501271
111000	-104299.481678068	-104352.96265504538	53.48097697739087	-104352.96265504538	0.24965342076142125	66.68196176219782	4.956217560116238
112000	-104295.59118430011	-104349.76206222677	54.170877926665085	-104349.76206222677	0.247094389416702	68.43600742283337	5.166467064244891
113000	-104302.9346908561	-104357.8179100111	54.88321915500857	-104357.8179100111	0.24707603540363973	71.7668960990664	5.650617384118864
114000	-104292.10729684008	-104347.04317834317	54.93588150309354	-104347.04317834317	0.24718186153513136	73.16662670352038	5.884183319241875
